	GATA2_lev	PGR_lev	SOX17_lev	GATA2_act_FC12_P01	GATA2_act_FC13_P01	GATA2_act_FC15_P01	GATA2_act_FC15_P005	GATA2_act_FC15_P001	PRG_act_FC12_P05	PRG_act_FC13_P05	PRG_act_FC12_P01	PRG_act_FC13_P01	P4_act_FC12_P01	P4_act_FC13_P01	P4_act_FC15_P01	P4_act_FC15_P005	P4_act_FC15_P001	Case-I	Case-II	Case-III
GSM1402406	-0.222	-0.3	-0.572	-6.749	-6.803	-6.182	-5.433	-2.72	-4.06	-3.603	-2.196	-2.145	-6.782	-5.692	-4.905	-4.522	-2.752	-4.089251301	-2.176567102	-5.125482508
GSM1402407	-0.213	-0.301	-0.411	-9.986	-9.245	-7.972	-7.607	-5.583	-1.842	-1.019	-0.135	0.174	-11.122	-9.841	-8.984	-8.434	-6.364	-6.964169501	-3.994715353	-7.074769116
GSM1402408	-0.178	-0.451	-0.847	-0.773	-0.786	-2.121	-2.036	-1.95	-0.81	-0.596	-0.032	-0.091	0.858	0.841	0.096	-0.4	-1.266	-1.239256238	-0.928218386	-1.327073168
GSM1402409	0.352	0.223	0.536	4.222	3.536	3.682	3.369	1.938	3.862	3.426	2.482	2.279	2.067	2.1	2.046	2.325	0.871	2.177076739	3.241275507	2.803155052
GSM1402410	0.528	0.295	-0.014	-5.431	-5.589	-4.238	-3.342	-1.561	0.916	0.975	1.096	0.835	-6.545	-5.855	-5.375	-4.212	-3.557	-1.919483132	0.311276268	-3.23628226
GSM1402411	0.182	0.339	0.659	-1.004	-1.181	0.446	0.294	0.286	1.305	1.44	0.787	0.48	1.217	1.195	1.25	1.584	1.546	0.419970685	0.415600727	-0.225436556
GSM1402412	0.102	0.229	0.181	5.286	5.452	5.292	4.031	2.375	2.939	2.228	1.932	1.672	4.091	3.949	3.813	3.621	1.118	2.390579925	1.41654307	4.134611531
GSM1402413	0.266	-0.029	0.286	-4.919	-4.947	-3.501	-3.495	-2.077	-0.67	-0.558	-1.43	-1.179	-7.292	-6.943	-5.216	-4.423	-2.518	-2.915806648	-0.561928026	-3.297747177
GSM1402414	0.155	0.122	0.107	-2.617	-2.237	-0.64	-1.487	0.285	0.011	0.135	-0.084	-0.194	-0.964	-0.785	-0.52	-0.775	-0.934	-0.630206693	-0.406896981	-0.30442178
GSM1402415	0.228	0.081	0.177	0.958	1.456	2.286	1.405	-0.004	3.068	2.436	1.871	1.437	2.653	2.72	2.723	2.105	0.102	0.625188496	-1.364709588	1.874107914
GSM1402416	0.057	-0.024	-0.192	-8.376	-8.489	-7.285	-5.541	-3.585	-2.151	-2.056	-0.944	-0.959	-9.034	-8.427	-6.451	-6.589	-4.191	-5.302566916	-3.050339262	-5.497280654
GSM1402417	-0.049	0.093	0.588	1.47	1.742	1.97	0.377	-0.676	2.89	1.934	1.749	1.355	1.063	1.114	1.366	0.912	-0.351	-0.069527581	-1.11712256	1.660904315
GSM1402418	-0.223	-0.371	-1.241	0.213	-0.433	-1.282	-0.477	-0.201	-1.761	-1.884	-1.519	-1.299	0	-0.23	-0.539	-0.406	0.512	-0.407020565	1.272970815	-1.572386781
GSM1402419	-0.038	0.137	0.123	-2.601	-2.252	-2.679	-3.248	-2.884	0.93	1.054	1.438	1.349	-5.726	-5.919	-5.732	-5.06	-4.456	-2.569720798	-1.338723291	-1.962966342
GSM1402420	0.209	2.326	0.424	3.625	3.428	2.234	1.713	1.246	-2.927	-2.916	-2.347	-2.281	2.018	1.566	2.364	1.139	0.608	2.554673154	0.296132102	2.147124035
GSM1402421	-0.291	-0.134	-0.919	-4.914	-5.128	-4.845	-3.763	-2.107	-3.43	-2.963	-2.032	-1.679	-4.003	-3.84	-3.486	-3.069	-1.463	-2.304428867	-1.274782121	-4.512576581
GSM1402422	0.136	1.479	0.14	2.812	2.91	2.319	2.052	1.207	-2.721	-2.142	-2.679	-2.355	4.417	3.753	3.892	2.964	2.375	3.313559802	1.761217649	2.547974734
GSM1402423	0.595	0.463	0.491	3.158	2.89	4.095	3.558	2.12	2.348	2.329	1.412	1.264	5.698	5.357	4.631	4.503	3.996	3.043368681	1.486909199	3.340927011
GSM1402424	-0.306	0.081	-1.532	1.138	0.743	-0.012	0.866	0.482	-1.711	-1.45	-0.834	-0.697	2.947	2.825	1.78	1.787	1.928	0.243181315	0.522787881	-1.199054784
GSM1402425	0.16	0.455	-0.458	-0.549	-0.708	-1.894	-0.522	0.146	-1.682	-1.81	-1.234	-1.309	-1.152	-1.653	-0.934	-1.051	-1.899	-0.817019318	0.694712171	-1.037565196
GSM1402426	0.066	-0.407	0.1	-8.069	-7.589	-5.988	-5.591	-3.465	-0.721	-0.37	0.621	0.768	-8.443	-7.931	-6.279	-5.856	-4.549	-4.835579859	-4.800127112	-4.694761102
GSM1402427	0.371	0.391	0.857	5.271	4.705	5.066	4.531	3.608	2.479	2.049	2.054	1.751	4.04	3.61	3.339	3.444	2.916	3.769440365	4.752045909	4.295025206
GSM1402428	-0.398	0.109	-1.121	0.531	0.231	-0.878	-0.007	-0.174	-2.712	-2.244	-2.168	-1.779	0.658	0.678	0.376	0.214	0.443	0.267652443	-0.199097927	-1.269745259
GSM1402429	0.131	-0.249	0.345	1.481	0.837	0.989	0.81	0.851	1.907	1.66	1.703	1.508	0.718	0.292	0.515	0.4	0.007	0.337490382	1.643977291	0.561826361
GSM1402430	0.026	-0.296	-0.605	-2.375	-2.738	-3.222	-3.116	-2.649	-1.058	-1.25	0.14	-0.033	-3.298	-2.924	-2.894	-2.756	-3.145	-1.657642192	-1.70440591	-1.981740884
GSM1402431	-0.031	-0.217	0.518	-1.709	-1.597	-0.382	-0.733	-0.4	1.476	1.423	0.667	0.566	-2.164	-2.018	-1.617	-1.266	-1.405	-0.938207224	0.021871663	-0.636882558
GSM1402432	0.136	0.964	0.719	6.765	6.314	5.939	5.33	3.611	0.725	0.783	0.173	0.121	5.638	4.886	4.493	4.584	3.706	4.919615006	4.668909469	5.043379777
GSM1402433	-0.089	0.014	-0.195	-1.941	-2.005	-2.762	-1.718	-0.574	-1.643	-1.597	-0.792	-0.427	-3.997	-3.156	-3.357	-3.031	-2.738	-2.163757501	0.506927382	-2.381160379
GSM1402434	0.078	-0.336	-0.427	-10.1	-9.714	-7.781	-6.759	-3.197	-2.284	-1.594	-0.637	-0.736	-6.434	-5.264	-3.989	-3.402	-2.655	-4.571097317	-5.560780448	-6.098343329
GSM1402435	-0.449	0.102	-2	1.178	0.777	-0.128	0.723	0.461	-2.609	-1.725	-2.262	-1.841	3.448	2.559	1.829	1.645	2.004	0.318843525	-0.712367327	-0.678854305
